xnm,ynm,frame,locprecnm,phot,bg,LLrel,PSFxnm,numberInGroup,sitenumbers,layer
26113.57,52748.91,1,5.854706,3287.244,128.815994262695,-0.7982576,138.4951,1,0,1
26737.38,39744.73,1,4.476899,3591.784,140.314041137695,-0.8222257,117.727,2,0,1
27405.77,45516.16,1,4.604222,4053.393,208.866172790527,-0.8948432,119.5564,2,0,1
28703.53,56835.36,1,2.404058,10429.66,373.37158203125,-0.7093916,113.6677,5,0,1
31997.43,47632.33,1,1.916291,16946.98,534.521835327148,-0.684019,115.9134,7,8,1
32677.53,48356.46,1,4.177962,4128.944,128.615203857422,-0.7713491,122.2177,1,87,1
33719.86,51442.85,1,3.583133,5446.546,311.410209655762,-0.6866993,109.0667,3,0,1
26579.3,47069.32,2,2.978186,7446.536,264.14123916626,-0.8123288,116.4557,4,0,1
26820.95,53126.05,2,3.36843,9422.554,435.760513305664,-0.6685458,132.5627,7,0,1
28247.13,47998.14,2,4.840339,4319.39,181.627014160156,-0.6873601,131.4758,2,0,1
28299.67,41368.83,2,8.097213,1333.331,63.9182548522949,-0.5085381,121.8987,1,0,1
28609.97,47279.74,2,3.783109,5555.252,171.866439819336,-0.8881362,127.0284,2,0,1
29343.5,50736.32,2,3.581896,5061.841,241.425010681152,-0.8635085,110.4502,3,19,1
29868.54,47130.22,2,1.943176,17373.4,572.606483459473,-0.6117823,119.8765,9,0,1
30241.59,58876.35,2,2.756221,8581.274,284.207305908203,-0.7223614,116.568,4,0,1
30880.77,56425.04,2,3.691444,7568.195,281.820877075195,-0.6173577,135.6869,4,118,1
30977.54,59344.66,2,10.58284,970.9619,84.0054931640625,-0.5231456,117.3253,1,0,1
31047.24,44745.23,2,8.109106,1711.069,134.598812103271,-0.5751003,121.5798,2,0,1
31274.6,40844.23,2,1.889396,14720.98,342.759304046631,-0.8391648,112.8795,6,0,1
31895.2,45249.98,2,4.402329,5108.485,215.463584899902,-0.862455,130.8217,3,0,1
32232.39,41263.18,2,4.701348,4679.999,216.955558776855,-0.8750556,130.3038,3,0,1
33078.58,59026.68,2,9.562319,1386.171,84.0748138427734,-0.6241679,132.8383,1,0,1
35692.31,54664.36,2,2.805799,9026.88,471.7978515625,-0.6122699,112.4121,5,410,1
36512.98,43524.93,2,4.893634,5468.813,323.539772033691,-0.8372195,136.0748,5,0,1
36762.02,46569.49,2,5.127575,3079.875,180.080787658691,-0.8849697,115.3409,2,199,1
37194.78,50083.5,2,7.383667,1582.005,111.502838134766,-0.6028749,112.7506,1,315,1
