epoch,step,train_loss_epoch,train_loss_step
0,10,0.6480714082717896,
1,21,0.6308814287185669,
2,32,0.6299291253089905,
3,43,0.6285619139671326,
4,49,,0.6597258448600769
4,54,0.6308225989341736,
5,65,0.6317182779312134,
6,76,0.6349096894264221,
7,87,0.6310272216796875,
8,98,0.6290231347084045,
9,99,,0.62266606092453
9,109,0.6315540671348572,
10,120,0.6308127641677856,
11,131,0.6288683414459229,
12,142,0.628026008605957,
13,149,,0.6389256119728088
13,153,0.6271108984947205,
14,164,0.6266466379165649,
15,175,0.6313750147819519,
16,186,0.634108304977417,
17,197,0.6357095241546631,
18,199,,0.6266339421272278
18,208,0.6311261057853699,
19,219,0.6304342746734619,
20,230,0.6288991570472717,
21,241,0.6272348761558533,
22,249,,0.9530014991760254
22,252,0.6267455220222473,
23,263,0.626619815826416,
24,274,0.6268673539161682,
25,285,0.6271829009056091,
26,296,0.6270822882652283,
27,299,,0.7154808044433594
27,307,0.6272760629653931,
28,318,0.6269173622131348,
29,329,0.6269372701644897,
